time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-12-02 01:00:00,103.22,101.58,103.99,2046743.48,209098888.55,102.16,multiply,BTC
2018-12-03 01:00:00,96.52,94.14,102.16,1979524.28,188236346.4,95.09,multiply,BTC
2018-12-04 01:00:00,97.42,96.21,95.09,2044465.98,197190195.34,96.45,multiply,BTC
2018-12-05 01:00:00,91.42,89.32,96.45,2490780.54,222716236.78,89.42,multiply,BTC
2018-12-06 01:00:00,83.33,78.08,89.42,2879133.51,228484884.43,79.36,multiply,BTC
2018-12-07 01:00:00,82.98,73.79,79.36,3305613.9,270733798.04,81.9,multiply,BTC
2018-12-08 01:00:00,84.91,77.12,81.9,2754012.05,220285395.38,79.99,multiply,BTC
2018-12-09 01:00:00,84.47,81.81,79.99,2510443.0,206642631.89,82.31,multiply,BTC
2018-12-10 01:00:00,80.18,78.45,82.31,2254687.48,179074159.61,79.42,multiply,BTC
2018-12-11 01:00:00,79.25,76.95,79.42,2732110.42,212036378.62,77.61,multiply,BTC
2018-12-12 01:00:00,80.07,78.73,77.61,2598668.43,205390214.52,79.04,multiply,BTC
2018-12-13 01:00:00,76.9,74.93,79.04,2589752.39,196142759.74,75.74,multiply,BTC
2018-12-14 01:00:00,74.91,73.72,75.74,2955647.31,218886668.4,74.06,multiply,BTC
2018-12-15 01:00:00,74.48,73.74,74.06,2080434.83,154539066.42,74.28,multiply,BTC
2018-12-16 01:00:00,76.23,74.49,74.28,2147007.94,160840237.65,74.91,multiply,BTC
2018-12-17 01:00:00,84.43,81.56,74.91,2953534.78,246506637.97,83.46,multiply,BTC
2018-12-18 01:00:00,89.38,85.9,83.46,3183833.06,283837744.32,89.15,multiply,BTC
2018-12-19 01:00:00,91.73,87.75,89.15,3110771.48,273289564.1,87.85,multiply,BTC
